City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,21.29,67,61,3.13,ZA,1674631259
84,bara,10.3744,10.7288,23.18,16,71,1.83,NG,1674631259
85,nanortalik,60.1432,-45.2371,2.45,92,100,20.61,GL,1674630968
86,qaanaaq,77.484,-69.3632,-14.21,68,100,4.25,GL,1674631260
87,arvika,59.6553,12.5852,5.51,97,100,5.37,SE,1674631260
88,xai-xai,-25.0519,33.6442,28.92,63,98,7.1,MZ,1674631260
89,kruisfontein,-34.0033,24.7314,19.94,43,76,2.98,ZA,1674631261
90,hithadhoo,-0.6,73.0833,27.55,75,100,5.22,MV,1674631261
91,comodoro rivadavia,-45.8667,-67.5,13.92,41,0,6.17,AR,1674631262
92,xingyi,24.1877,102.817,19.28,32,9,4.35,CN,1674631262
93,talaya,61.3833,152.75,-29.39,98,100,1.5,RU,1674631263
94,college,64.8569,-147.8028,-14.56,84,100,0.88,US,1674631263
95,mago,53.2514,140.1822,-20.77,93,100,3.28,RU,1674631264
96,pangnirtung,66.1451,-65.7125,-19.77,99,100,2.24,CA,1674631264
97,west bay,19.3667,-81.4167,25.0,85,4,0.89,KY,1674631265
98,new norfolk,-42.7826,147.0587,26.6,28,83,2.68,AU,1674631265
99,chara,56.9064,118.2631,-26.46,97,100,0.5,RU,1674631266
100,koster,-25.863,26.8976,24.02,27,0,5.69,ZA,1674631266
101,tiksi,71.6872,128.8694,-39.06,98,52,3.56,RU,1674631267
102,tautira,-17.7333,-149.15,27.03,82,47,7.57,PF,1674631267
103,kavaratti,10.5669,72.642,25.61,81,100,6.25,IN,1674631267
104,rapid valley,44.0625,-103.1463,0.33,75,100,9.77,US,1674631089
105,ahipara,-35.1667,173.1667,19.57,69,86,5.19,NZ,1674631269
106,gazojak,41.1875,61.4036,-1.1,28,100,3.84,TM,1674631270
107,nantucket,41.2835,-70.0995,3.41,79,94,7.62,US,1674631270
108,victoria,22.2855,114.1577,16.09,65,95,4.47,HK,1674631271
109,la crosse,43.8014,-91.2396,-1.72,91,100,1.34,US,1674631271
110,mahebourg,-20.4081,57.7,24.03,93,100,4.1,MU,1674631271
111,mount isa,-20.7333,139.5,35.87,36,40,2.57,AU,1674631272
112,stornoway,58.2093,-6.3865,6.98,84,40,6.17,GB,1674631040
113,bengkulu,-3.8004,102.2655,28.38,65,69,3.91,ID,1674631272
114,nelson bay,-32.7167,152.15,27.27,78,0,6.71,AU,1674631273
115,hukuntsi,-24.0,21.75,27.01,33,6,3.39,BW,1674631273
116,saint george,37.1041,-113.5841,1.35,60,0,0.89,US,1674631108
117,upernavik,72.7868,-56.1549,-14.9,93,99,1.85,GL,1674631274
118,saint-philippe,-21.3585,55.7679,27.77,90,100,4.86,RE,1674631275
119,srednekolymsk,67.45,153.6833,-29.68,92,100,2.35,RU,1674631275
